Article name,SCIP number,Identifier,SVHC contained:,CAS:,ROHS Exemption:,Last Updated
Bender VEMR,6bebabd4-fd9b-4d8e-a9de-4eefa17e93a9,704749,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMR,6560eee3-0d7a-4b35-8e73-fa45efedb9a2,572204,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMR,6560eee3-0d7a-4b35-8e73-fa45efedb9a2,572206,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMR,6560eee3-0d7a-4b35-8e73-fa45efedb9a2,3115062,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMR,6560eee3-0d7a-4b35-8e73-fa45efedb9a2,4059168,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046263,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046264,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046265,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046266,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046267,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046268,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046269,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046270,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046271,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046272,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046299,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046300,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046301,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046302,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046303,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046304,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046305,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046306,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046307,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAB,85b38bad-7d87-4431-9457-d31a8e581df4,8046308,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEMD,c5228897-f490-4898-b4de-15621b057d9c,5092910,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEMD,c5228897-f490-4898-b4de-15621b057d9c,4869520,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Bender VEMC/VEMA,f0314fc6-1eef-421b-8639-ba7dd73122ab,710934,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMC,b98aaab7-aa5b-4674-a304-77f94bb5ce32,571079,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMC,b98aaab7-aa5b-4674-a304-77f94bb5ce32,572581,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Valve terminal VEMA,ce09e361-47a5-4130-b3c4-b9cd5f8a8ee6,563303,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Bender VOMP/VEMP,b5ee0a11-c0bf-41c1-88e2-cb9b174fabd5,722645,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional directional control valve VOMP,cec43fc2-5611-4cc9-ab1e-78c32a89826c,563757,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional directional control valve VOMP,cec43fc2-5611-4cc9-ab1e-78c32a89826c,557952,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8064292,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8064293,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8064294,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8064295,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065734,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065735,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065736,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065737,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065738,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEMP,3adce5dd-0ed2-4888-ae8a-f3d9c648f3da,8065739,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Bender VEAE,3eca2bb4-08c2-4ff8-b01b-a74a76e2d082,4525039,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAE,7fbc91c3-55dd-4633-9b70-86a6ca351a00,2797188,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAE,7fbc91c3-55dd-4633-9b70-86a6ca351a00,2797189,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Bender VEVM,4c9c1652-4bcf-4d43-8dc5-2c349b624b22,2069206,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Valve VEVM,978b8e69-353e-4f3b-ab3f-20039af08198,8047503,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Motion Terminal VTEM,288b68b7-e94a-4734-ae2e-ac2628dce8fe,8047502,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Bender VEAA,461d2913-ba2d-43ed-80d0-1fcf041cb0b1,1794119,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046892,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046893,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046894,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046895,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046896,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046897,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046901,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046902,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046903,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046904,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046905,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Proportional-pressure regulator VEAA,321b5847-201e-418b-942a-1ee8d79db382,8046906,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153667,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153668,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153669,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153670,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153671,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153672,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153673,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153674,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153675,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153676,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153677,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153678,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153679,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153680,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153681,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153682,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153684,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153685,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153642,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153643,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153644,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153645,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153646,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
